Team1,Team2,FG % differential,3 pt % differential,FT % differential,Rebound differential, Offensive Rebound differential, Assists differential, Personal foul differentials, Steals differential,Turnovers differential, Blocks differential, Points differential
Boston College,Old Dominion,0.082,0.1941,0.4539,12.0,3.0,9.0,3.0,2.0,-5.0,3.0,30.0
Virginia Tech,Michigan,-0.0584,-0.0588,0.0417,3.0,1.0,-12.0,4.0,0.0,4.0,-5.0,-12.0
San Francisco,Clemson,-0.0906,-0.0784,0.3,-17.0,-9.0,-2.0,1.0,-2.0,1.0,-2.0,-15.0
Boston College,Missouri St.,0.0862,0.3248,-0.2375,-3.0,-4.0,3.0,1.0,-3.0,2.0,8.0,2.0
North Carolina,Dayton,0.0861,-0.0462,-0.0059,2.0,-5.0,-8.0,-7.0,0.0,5.0,3.0,2.0
Penn St.,Clemson,0.0257,-0.2515,-0.0667,0.0,-1.0,1.0,4.0,-2.0,4.0,2.0,-8.0
Grand Canyon,Stanford,0.082,0.2348,0.0014,-6.0,-6.0,2.0,-1.0,5.0,-1.0,0.0,7.0
Virginia,Manhattan,0.1031,0.0055,-0.1333,-3.0,-3.0,4.0,-4.0,10.0,-6.0,1.0,9.0
Florida St.,Western Caro.,0.2459,0.2063,-0.0085,5.0,-3.0,11.0,-8.0,9.0,-1.0,2.0,34.0
Boston College,Boise St.,0.098,-0.0686,0.013,2.0,-2.0,-2.0,1.0,-2.0,4.0,1.0,2.0
Duke,Kansas,0.0088,-0.0475,-0.1944,-6.0,-5.0,-5.0,4.0,-1.0,0.0,-1.0,-3.0
SMU,California Baptist,0.01,-0.1294,0.1068,3.0,1.0,-5.0,0.0,1.0,2.0,3.0,2.0
Rutgers,Notre Dame,0.0068,-0.0909,-0.1214,-4.0,0.0,-3.0,-8.0,7.0,-5.0,2.0,1.0
North Carolina,Auburn,7.0E-4,0.0083,-0.192,-6.0,-4.0,-8.0,-6.0,-4.0,2.0,-5.0,-13.0
Louisville,Indiana,0.2359,0.0204,0.0084,-5.0,-11.0,11.0,2.0,7.0,-8.0,-2.0,28.0
Virginia Tech,South Carolina,-0.0525,0.1007,0.0476,-2.0,0.0,-3.0,8.0,1.0,-1.0,-1.0,-10.0
Syracuse,Cornell,0.0077,0.0846,0.0167,13.0,9.0,-2.0,-8.0,1.0,-6.0,-2.0,10.0
Georgia Tech,Charleston So.,0.2242,-0.0606,-0.1143,5.0,0.0,5.0,9.0,6.0,-7.0,-2.0,24.0
North Carolina,Michigan St.,-0.041,0.2283,-0.0123,-8.0,-3.0,1.0,3.0,1.0,-1.0,0.0,-3.0
Washington St.,SMU,-0.0558,-0.0303,-0.3088,-26.0,-14.0,0.0,2.0,2.0,-1.0,3.0,-17.0
California,Mercyhurst,0.1698,0.293,-0.0833,14.0,3.0,7.0,-2.0,-1.0,3.0,5.0,26.0
Notre Dame,Houston,-0.0622,0.0725,0.0873,2.0,-1.0,-7.0,-4.0,-4.0,7.0,-2.0,-11.0
Louisville,West Virginia,-0.0196,-0.0962,-0.0227,7.0,5.0,-1.0,-14.0,2.0,-1.0,-2.0,9.0
Wake Forest,Florida,-0.0216,-0.1463,0.0889,-14.0,-7.0,1.0,0.0,-3.0,2.0,3.0,-17.0
Purdue,NC State,-0.008,0.0772,0.0359,10.0,4.0,-1.0,-3.0,0.0,-2.0,-3.0,10.0
Boston College,Dartmouth,0.0501,-0.331,-0.0718,6.0,2.0,-4.0,-6.0,-2.0,2.0,3.0,-5.0
Wake Forest,Minnesota,-0.0155,-0.1,0.475,15.0,5.0,1.0,-1.0,0.0,2.0,1.0,6.0
Ohio St.,Pittsburgh,0.0695,0.2167,-0.1115,-7.0,-8.0,11.0,-4.0,0.0,0.0,1.0,-1.0
BYU,NC State,0.0553,-0.0067,0.0357,13.0,6.0,7.0,-1.0,-1.0,5.0,0.0,11.0
Virginia,Holy Cross,0.103,0.1327,0.4333,7.0,2.0,13.0,-5.0,0.0,-5.0,2.0,26.0
Louisville,Oklahoma,-0.0963,-0.2518,-0.1975,21.0,17.0,-2.0,1.0,-3.0,4.0,1.0,-5.0
Duke,Seattle U,0.1838,0.0673,-0.0374,7.0,2.0,12.0,4.0,6.0,-3.0,4.0,22.0
Clemson,Florida A&M,0.0818,-0.0631,0.6833,14.0,6.0,4.0,-7.0,2.0,-7.0,0.0,28.0
Georgia Tech,Central Ark.,0.107,-0.0312,-0.0571,13.0,6.0,6.0,2.0,4.0,-3.0,-2.0,19.0
Notre Dame,Creighton,-0.0605,-0.067,-0.1333,5.0,7.0,-5.0,2.0,2.0,-3.0,-4.0,-4.0
Miami (FL),Charleston So.,-0.0334,-0.0947,0.0584,-6.0,-4.0,1.0,-1.0,2.0,-2.0,4.0,-4.0
Stanford,Cal Poly,-0.0783,-0.097,-0.0455,-4.0,2.0,3.0,-2.0,9.0,-5.0,2.0,-7.0
Boston College,South Carolina,-0.1267,-0.4013,-0.0689,-2.0,5.0,-9.0,3.0,1.0,1.0,4.0,-22.0
Missouri,California,0.1604,-0.0833,-0.1821,-10.0,-9.0,-5.0,-3.0,-1.0,-4.0,4.0,5.0
Georgia,Notre Dame,0.0791,0.0202,0.1111,13.0,7.0,14.0,2.0,4.0,-5.0,2.0,21.0
Miami (FL),Arkansas,-5.0E-4,-0.1679,0.1944,0.0,-1.0,-3.0,-2.0,-4.0,0.0,2.0,-3.0
Tennessee,Syracuse,0.0479,0.029,0.0952,14.0,8.0,6.0,1.0,3.0,-3.0,1.0,26.0
SMU,Alabama St.,0.1304,0.0278,0.0478,22.0,8.0,5.0,-9.0,3.0,0.0,-5.0,29.0
Louisville,Ole Miss,-0.2333,-0.2333,-0.1026,7.0,11.0,-6.0,-7.0,-8.0,4.0,-4.0,-23.0
Oklahoma,Georgia Tech,-0.0305,0.094,0.2,4.0,2.0,-2.0,-5.0,4.0,-4.0,-3.0,15.0
LSU,Florida St.,0.0627,0.0175,0.0987,-2.0,-7.0,0.0,-4.0,4.0,-3.0,2.0,10.0
Texas A&M,Wake Forest,0.1044,0.013,0.2521,10.0,-2.0,2.0,-4.0,0.0,3.0,-3.0,13.0
Clemson,Kentucky,-0.0117,0.0607,0.1257,0.0,0.0,2.0,-5.0,0.0,-4.0,3.0,4.0
Stanford,Utah Valley,0.107,-0.0441,0.0809,5.0,-1.0,7.0,1.0,-2.0,1.0,2.0,14.0
North Carolina,Alabama,-0.0827,-0.1851,-0.2981,2.0,7.0,-6.0,-2.0,2.0,-1.0,-3.0,-15.0
Florida,Virginia,0.0605,0.019,-0.1857,-4.0,-2.0,0.0,-5.0,7.0,-9.0,1.0,18.0
Mississippi St.,Pittsburgh,0.2656,0.0256,0.0,22.0,2.0,10.0,0.0,-1.0,3.0,4.0,33.0
Virginia Tech,Vanderbilt,-0.1439,-0.0575,0.047,10.0,9.0,-3.0,5.0,-3.0,7.0,-5.0,-16.0
NC State,Texas,-0.0084,-0.1134,-0.0714,-7.0,-3.0,3.0,0.0,1.0,-3.0,1.0,-4.0
Duke,Auburn,0.0469,0.0091,-0.2037,-5.0,-3.0,-6.0,-6.0,3.0,-4.0,1.0,6.0
Wake Forest,Boston College,0.0784,-0.0154,-0.1218,-1.0,-3.0,-4.0,-8.0,6.0,-6.0,1.0,6.0
Miami (FL),Clemson,0.0142,-0.1733,0.0,2.0,0.0,-5.0,-1.0,-1.0,6.0,-1.0,-10.0
Notre Dame,Syracuse,-0.0216,0.3636,-0.037,3.0,2.0,-6.0,-2.0,-1.0,2.0,2.0,5.0
Virginia Tech,Pittsburgh,0.0232,0.1057,-0.2857,-1.0,-1.0,3.0,6.0,-3.0,5.0,-5.0,-5.0
North Carolina,Georgia Tech,0.0773,-0.088,0.1012,11.0,2.0,1.0,-2.0,6.0,4.0,-2.0,3.0
SMU,Virginia,0.0881,-0.1711,-0.1667,11.0,5.0,2.0,-4.0,0.0,-2.0,0.0,12.0
NC State,Florida St.,0.0926,0.1603,-0.1724,0.0,-2.0,3.0,-4.0,2.0,-3.0,0.0,10.0
California,Stanford,-0.1038,-0.0973,-0.0875,10.0,13.0,-14.0,-1.0,-2.0,0.0,-8.0,-8.0
Louisville,Duke,-0.0791,0.0882,-0.0952,-1.0,-1.0,-4.0,-2.0,-3.0,8.0,-2.0,-11.0
Tennessee,Miami (FL),0.0873,0.1576,0.2333,2.0,-6.0,5.0,-2.0,-4.0,-3.0,4.0,13.0
NC State,Coppin St.,-0.0652,0.1111,0.0513,2.0,7.0,1.0,4.0,-3.0,-6.0,2.0,10.0
Duke,UIW,0.1156,0.1026,0.1786,18.0,8.0,9.0,-3.0,-2.0,2.0,-3.0,26.0
Syracuse,UAlbany,0.1778,0.0429,0.3099,11.0,-3.0,5.0,-4.0,-8.0,6.0,3.0,17.0
California,Cornell,-0.055,0.0824,0.1,8.0,4.0,0.0,6.0,-5.0,8.0,-5.0,-8.0
Louisville,UTEP,-0.1122,-0.2735,0.0989,11.0,9.0,4.0,-14.0,2.0,-4.0,1.0,3.0
Notre Dame,Dartmouth,0.1254,0.1039,-0.2395,4.0,0.0,-2.0,1.0,0.0,-2.0,1.0,12.0
Pittsburgh,Eastern Ky.,0.2825,0.2283,0.16,6.0,-9.0,15.0,-8.0,1.0,-3.0,3.0,40.0
Virginia,Bethune-Cookman,0.1309,0.0543,0.3333,14.0,2.0,7.0,-4.0,-5.0,3.0,5.0,18.0
Virginia Tech,N.C. A&T,0.1207,0.1111,0.0446,18.0,7.0,14.0,14.0,0.0,3.0,2.0,28.0
Clemson,Memphis,-0.0689,-0.1574,0.0353,-1.0,2.0,-1.0,0.0,-1.0,-3.0,-2.0,-5.0
Syracuse,Georgetown,-0.051,0.01,0.0878,-2.0,-2.0,-8.0,-5.0,-1.0,0.0,1.0,-4.0
California,Northwestern St.,0.0973,0.08,0.2619,4.0,-2.0,-2.0,-1.0,-4.0,2.0,4.0,18.0
Kansas,NC State,0.1976,0.0167,0.0476,10.0,-3.0,10.0,6.0,-3.0,5.0,4.0,15.0
North Carolina,La Salle,0.1811,-0.0222,0.0237,11.0,-2.0,7.0,0.0,1.0,-1.0,6.0,26.0
SMU,LSU,0.0241,0.1083,-0.1691,10.0,6.0,6.0,-4.0,-1.0,-2.0,0.0,10.0
Florida St.,Tulane,0.1494,0.2166,-0.0114,-13.0,-13.0,5.0,-6.0,1.0,-3.0,2.0,13.0
Kentucky,Louisville,0.139,0.1648,0.0,10.0,-3.0,15.0,-2.0,3.0,4.0,2.0,8.0
Virginia Tech,Navy,0.0588,0.2222,-0.0486,-10.0,-7.0,1.0,2.0,3.0,-6.0,-2.0,8.0
Miami (FL),Presbyterian,0.2128,0.1667,0.1061,12.0,-3.0,4.0,-4.0,-3.0,6.0,0.0,19.0
Northwestern,Georgia Tech,0.0071,0.1174,-0.0673,-6.0,1.0,4.0,-1.0,8.0,-10.0,0.0,11.0
Boston College,Stonehill,0.0472,-0.1407,-0.0833,8.0,4.0,-4.0,-1.0,-4.0,-3.0,-1.0,4.0
North Carolina,Florida,-0.0032,-0.1652,-0.0195,-10.0,-3.0,-4.0,3.0,4.0,-7.0,-1.0,-6.0
South Carolina,Clemson,0.0485,-0.0168,-0.1989,7.0,3.0,3.0,-2.0,-3.0,2.0,2.0,3.0
Florida St.,Winthrop,0.2141,0.1,0.1125,17.0,2.0,6.0,1.0,1.0,5.0,5.0,18.0
Duke,George Mason,0.0809,0.2157,-0.0238,-1.0,-6.0,6.0,-9.0,5.0,-3.0,2.0,21.0
Wake Forest,James Madison,0.1136,-0.0833,0.2154,12.0,4.0,-1.0,-3.0,-1.0,-1.0,6.0,18.0
Stanford,Merrimack,0.0101,0.1983,-0.1147,7.0,6.0,9.0,-3.0,2.0,0.0,0.0,6.0
Virginia,Memphis,0.0212,0.0984,-0.0317,-7.0,-5.0,3.0,2.0,5.0,-1.0,1.0,-2.0
Georgia Tech,UMBC,0.0073,0.1,0.0236,16.0,9.0,6.0,-4.0,-2.0,1.0,5.0,9.0
Saint Joseph's,Virginia Tech,0.0581,0.1506,0.0824,5.0,3.0,4.0,-1.0,3.0,-3.0,6.0,20.0
Boston College,SMU,-0.267,-0.2757,-0.0727,4.0,12.0,-6.0,-3.0,-1.0,6.0,-1.0,-26.0
Maryland,Syracuse,0.0484,-0.0556,-0.1667,10.0,8.0,9.0,2.0,10.0,-8.0,2.0,27.0
Georgia Tech,Duke,-0.2016,-0.0471,0.1333,-11.0,1.0,-8.0,2.0,0.0,0.0,2.0,-26.0
Pittsburgh,Sam Houston,0.0489,0.2118,0.2326,12.0,6.0,17.0,3.0,-1.0,-2.0,1.0,32.0
Miami (FL),Mount St. Mary's,-0.0942,-0.2211,0.1524,-2.0,4.0,-3.0,3.0,3.0,-5.0,-1.0,-4.0
Florida St.,Louisville,0.0388,-0.0728,-0.0374,-4.0,-2.0,-5.0,3.0,0.0,2.0,3.0,-10.0
Clemson,Wake Forest,-0.0958,0.0918,0.1875,0.0,5.0,11.0,-5.0,2.0,-8.0,2.0,13.0
UCLA,North Carolina,0.0225,0.1522,-0.0948,-6.0,-2.0,6.0,3.0,6.0,-3.0,-3.0,-2.0
Stanford,Oregon,-0.0654,-0.0061,-0.2202,-6.0,1.0,-1.0,4.0,1.0,0.0,-2.0,-15.0
California,San Diego St.,-0.1186,-0.1378,0.0095,-10.0,-5.0,-2.0,-2.0,-5.0,5.0,-2.0,-21.0
Virginia,American,0.08,0.0662,-0.3571,7.0,3.0,4.0,-4.0,-1.0,1.0,0.0,5.0
NC State,Rider,0.1642,0.1,0.0184,-4.0,-8.0,12.0,-6.0,5.0,-7.0,4.0,26.0
Notre Dame,Le Moyne,0.1143,0.1058,0.0,18.0,8.0,5.0,-13.0,1.0,-3.0,0.0,29.0
Louisville,Eastern Ky.,-0.0728,-0.0944,-0.0655,15.0,10.0,3.0,-11.0,-1.0,3.0,2.0,2.0
Syracuse,Bucknell,0.0919,-0.0405,-0.1246,16.0,7.0,3.0,-2.0,1.0,4.0,0.0,12.0
Georgia Tech,Alabama A&M,0.3327,0.2338,0.1148,8.0,-10.0,16.0,0.0,2.0,0.0,6.0,43.0
Boston College,FDU,0.0808,-0.1281,0.2735,13.0,4.0,-6.0,-2.0,0.0,3.0,4.0,8.0
SMU,Longwood,0.1478,0.2143,0.1244,3.0,-7.0,-3.0,-7.0,-3.0,7.0,3.0,16.0
North Carolina,Campbell,0.127,-0.0429,0.0,12.0,-1.0,5.0,0.0,1.0,0.0,1.0,16.0
